YEAR,M,CPI,EMP,UNEMP
1961,1,.,.,.
1961,2,.,.,.
1961,3,.,.,.
1961,4,.,.,.
1961,5,.,.,.
1961,6,.,.,.
1961,7,.,.,.
1961,8,.,.,.
1961,9,.,.,.
1961,10,.,.,.
1961,11,.,.,.
1961,12,.,.,.
1962,1,.,.,.
1962,2,.,.,.
1962,3,.,.,.
1962,4,.,.,.
1962,5,.,.,.
1962,6,.,.,.
1962,7,.,.,.
1962,8,.,.,.
1962,9,.,.,.
1962,10,.,.,.
1962,11,.,.,.
1962,12,.,.,.
1963,1,.,.,.
1963,2,.,.,.
1963,3,.,.,.
1963,4,.,.,.
1963,5,.,.,.
1963,6,.,.,.
1963,7,.,.,.
1963,8,.,.,.
1963,9,.,.,.
1963,10,.,.,.
1963,11,.,.,.
1963,12,.,.,.
1964,1,.,.,.
1964,2,.,.,.
1964,3,.,.,.
1964,4,.,.,.
1964,5,.,.,.
1964,6,.,.,.
1964,7,.,.,.
1964,8,.,.,.
1964,9,.,.,.
1964,10,.,.,.
1964,11,.,.,.
1964,12,.,.,.
1965,1,.,.,.
1965,2,.,.,.
1965,3,.,.,.
1965,4,.,.,.
1965,5,.,.,.
1965,6,.,.,.
1965,7,.,.,.
1965,8,.,.,.
1965,9,.,.,.
1965,10,.,.,.
1965,11,.,.,.
1965,12,.,.,.
1966,1,.,.,.
1966,2,.,.,.
1966,3,.,.,.
1966,4,.,.,.
1966,5,.,.,.
1966,6,.,.,.
1966,7,.,.,.
1966,8,.,.,.
1966,9,.,.,.
1966,10,.,.,.
1966,11,.,.,.
1966,12,.,.,.
1967,1,.,.,.
1967,2,.,.,.
1967,3,.,.,.
1967,4,.,.,.
1967,5,.,.,.
1967,6,.,.,.
1967,7,.,.,.
1967,8,.,.,.
1967,9,.,.,.
1967,10,.,.,.
1967,11,.,.,.
1967,12,.,.,.
1968,1,.,.,.
1968,2,.,.,.
1968,3,.,.,.
1968,4,.,.,.
1968,5,.,.,.
1968,6,.,.,.
1968,7,.,.,.
1968,8,.,.,.
1968,9,.,.,.
1968,10,.,.,.
1968,11,.,.,.
1968,12,.,.,.
1969,1,.,.,.
1969,2,.,.,.
1969,3,.,.,.
1969,4,.,.,.
1969,5,.,.,.
1969,6,.,.,.
1969,7,.,.,.
1969,8,.,.,.
1969,9,.,.,.
1969,10,.,.,.
1969,11,.,.,.
1969,12,.,.,.
1970,1,.,.,.
1970,2,.,.,.
1970,3,.,.,.
1970,4,.,.,.
1970,5,.,.,.
1970,6,.,.,.
1970,7,.,.,.
1970,8,.,.,.
1970,9,.,.,.
1970,10,.,.,.
1970,11,.,.,.
1970,12,.,.,.
1971,1,.,.,.
1971,2,.,.,.
1971,3,.,.,.
1971,4,.,.,.
1971,5,.,.,.
1971,6,.,.,.
1971,7,.,.,.
1971,8,.,.,.
1971,9,.,.,.
1971,10,.,.,.
1971,11,.,.,.
1971,12,.,.,.
1972,1,.,.,.
1972,2,.,.,.
1972,3,.,.,.
1972,4,.,.,.
1972,5,.,.,.
1972,6,.,.,.
1972,7,.,.,.
1972,8,.,.,.
1972,9,.,.,.
1972,10,.,.,.
1972,11,.,.,.
1972,12,.,.,.
1973,1,.,.,.
1973,2,.,.,.
1973,3,.,.,.
1973,4,.,.,.
1973,5,.,.,.
1973,6,.,.,.
1973,7,.,.,.
1973,8,.,.,.
1973,9,.,.,.
1973,10,.,.,.
1973,11,.,.,.
1973,12,.,.,.
1974,1,.,.,.
1974,2,.,.,.
1974,3,.,.,.
1974,4,.,.,.
1974,5,.,.,.
1974,6,.,.,.
1974,7,.,.,.
1974,8,.,.,.
1974,9,.,.,.
1974,10,.,.,.
1974,11,.,.,.
1974,12,.,.,.
1975,1,.,.,.
1975,2,.,.,.
1975,3,.,.,.
1975,4,.,.,.
1975,5,.,.,.
1975,6,.,.,.
1975,7,.,.,.
1975,8,.,.,.
1975,9,.,.,.
1975,10,.,.,.
1975,11,.,.,.
1975,12,.,.,.
1976,1,.,9271.4,815.7
1976,2,.,9324.5,808.2
1976,3,.,9428.4,776.7
1976,4,.,9503,773.2
1976,5,.,9766.4,714.9
1976,6,.,10030.9,708.4
1976,7,.,10221.8,785.8
1976,8,.,10206.6,715.1
1976,9,.,9864,668.5
1976,10,.,9844.1,683
1976,11,.,9789.7,717.8
1976,12,.,9719.1,758.3
1977,1,.,9485.7,894.3
1977,2,.,9534.7,931.4
1977,3,.,9591.3,939
1977,4,.,9649.1,922
1977,5,.,9996.2,832.6
1977,6,.,10183,822
1977,7,.,10373.3,883.2
1977,8,.,10369.5,845.2
1977,9,.,10004.4,812.8
1977,10,.,10025.5,798.9
1977,11,.,9939.6,848.9
1977,12,.,9853.5,886.4
1978,1,.,9625,990.4
1978,2,.,9728.8,1007.8
1978,3,.,9828.7,1056.2
1978,4,.,9877.5,1012.8
1978,5,.,10224,949.8
1978,6,.,10481.7,913.2
1978,7,.,10723.9,941.3
1978,8,.,10732.1,907.7
1978,9,.,10371.1,857.8
1978,10,.,10433.8,809.6
1978,11,.,10350.3,867.5
1978,12,.,10266.5,897.1
1979,1,.,10075.5,1016.3
1979,2,.,10145.4,1001.4
1979,3,.,10264.2,1012
1979,4,.,10343.8,976.4
1979,5,.,10684.2,870.7
1979,6,.,10923.1,829.9
1979,7,.,11199.3,811
1979,8,.,11204,790.6
1979,9,.,10819.8,740.9
1979,10,.,10866.1,769.7
1979,11,.,10798.4,791.5
1979,12,.,10699.1,807.8
1980,1,.,10508.8,971.5
1980,2,.,10551,969.2
1980,3,.,10629.6,998.4
1980,4,.,10705,967.1
1980,5,.,10952.9,926.8
1980,6,.,11274.8,915.2
1980,7,.,11425.7,888.5
1980,8,.,11442.2,867.6
1980,9,.,11123.3,799.3
1980,10,.,11142.1,794.5
1980,11,.,11083.3,808.7
1980,12,.,10970,837
1981,1,.,10806.4,972.9
1981,2,.,10929.7,959
1981,3,.,10984.9,1017.2
1981,4,.,11071.5,919.6
1981,5,.,11405.1,883.9
1981,6,.,11717,880.9
1981,7,.,11835.7,864.5
1981,8,.,11836.6,824
1981,9,.,11399.9,921.4
1981,10,.,11360.5,932.8
1981,11,.,11247.1,962.9
1981,12,.,11065.9,1030.4
1982,1,.,10801.5,1143.2
1982,2,.,10823.4,1161.5
1982,3,.,10858.1,1279.2
1982,4,.,10834.8,1276.8
1982,5,.,11078.7,1285.7
1982,6,.,11260.8,1343.5
1982,7,.,11355.3,1446.6
1982,8,.,11242.8,1431.7
1982,9,.,10879,1391
1982,10,.,10852.6,1456.4
1982,11,.,10721.9,1512.1
1982,12,.,10615.1,1570
1983,1,.,10400.1,1680.2
1983,2,.,10484,1670.7
1983,3,.,10600.5,1737.6
1983,4,.,10692.2,1649.4
1983,5,.,11058.4,1571.5
1983,6,.,11336.4,1526.8
1983,7,.,11535.9,1481.4
1983,8,.,11540.9,1427.5
1983,9,.,11245.2,1314
1983,10,.,11229.2,1292.8
1983,11,.,11114.9,1335.9
1983,12,.,11026.3,1379.5
1984,1,.,10756.2,1501.2
1984,2,.,10863.8,1510.3
1984,3,.,10926.7,1582.7
1984,4,.,10988.6,1530.8
1984,5,.,11346.3,1506.6
1984,6,.,11619.7,1407.8
1984,7,.,11839.9,1381.1
1984,8,.,11774.6,1393.8
1984,9,.,11439.7,1403.6
1984,10,.,11446.4,1356
1984,11,.,11337.6,1412.3
1984,12,.,11281.3,1367.9
1985,1,.,11106.5,1471.4
1985,2,.,11164.5,1473.8
1985,3,.,11248.2,1577.3
1985,4,.,11359.7,1476.4
1985,5,.,11717.2,1380.1
1985,6,.,11925.3,1351.9
1985,7,.,12155.7,1327.4
1985,8,.,12139.3,1307
1985,9,.,11794.8,1233.4
1985,10,.,11811.2,1252.5
1985,11,.,11764,1295.3
1985,12,.,11709.6,1270.2
1986,1,.,11523.4,1391.2
1986,2,.,11579.2,1389.1
1986,3,.,11645.3,1438.5
1986,4,.,11791.8,1349.1
1986,5,.,12080.7,1266.7
1986,6,.,12373.4,1242.5
1986,7,.,12480.7,1255.2
1986,8,.,12452.3,1237.3
1986,9,.,12102.2,1165.1
1986,10,.,12116.3,1151.4
1986,11,.,12026,1191.4
1986,12,.,11930.8,1213.1
1987,1,.,11714.4,1362.5
1987,2,.,11794,1357.7
1987,3,.,11881.9,1419.3
1987,4,.,12011.1,1299.7
1987,5,.,12383.7,1206.9
1987,6,.,12666,1168.3
1987,7,.,12799.4,1177.1
1987,8,.,12808.8,1132.6
1987,9,.,12489.8,1055.2
1987,10,.,12550,1032.3
1987,11,.,12464.4,1053.7
1987,12,.,12432.9,1050.7
1988,1,.,12199.5,1178
1988,2,.,12302.6,1143
1988,3,.,12362,1197
1988,4,.,12440.6,1110.5
1988,5,.,12809.2,1071
1988,6,.,13025.3,1005.3
1988,7,.,13157.2,1084
1988,8,.,13127.2,1077
1988,9,.,12806.4,991.5
1988,10,.,12842.2,973.7
1988,11,.,12743.4,1009.8
1988,12,.,12699.4,993.5
1989,1,.,12551.9,1140.9
1989,2,.,12595.3,1139.6
1989,3,.,12678.1,1186.3
1989,4,.,12711.9,1144.3
1989,5,.,13076.3,1080.4
1989,6,.,13301.5,1010.7
1989,7,.,13424.4,1066.5
1989,8,.,13448.1,1027.5
1989,9,.,13114.4,937.9
1989,10,.,13121,938.9
1989,11,.,13004.3,1019.9
1989,12,.,12926.7,1036.9
1990,1,.,12717.8,1207.5
1990,2,.,12787.5,1173.6
1990,3,.,12815.8,1152.6
1990,4,.,12924.1,1112.1
1990,5,.,13202.1,1112.2
1990,6,.,13448.6,1041.5
1990,7,.,13568,1128.9
1990,8,.,13515.8,1155.2
1990,9,.,13186.6,1094.5
1990,10,.,13138.5,1159.1
1990,11,.,12935.7,1260.7
1990,12,.,12796.2,1301
1991,1,.,12508.9,1496.9
1991,2,.,12504.2,1558.2
1991,3,.,12507.4,1660.3
1991,4,.,12626.7,1525.7
1991,5,.,12969.7,1482
1991,6,.,13189.3,1460.2
1991,7,.,13309.4,1528
1991,8,.,13281.1,1499.5
1991,9,.,12969.7,1332.7
1991,10,.,12966.8,1353.9
1991,11,.,12782.4,1427.3
1991,12,.,12672.7,1422.9
1992,1,.,12396.8,1584.5
1992,2,.,12432.8,1599.8
1992,3,.,12424.6,1733.7
1992,4,.,12490.1,1587.9
1992,5,.,12814.6,1582.5
1992,6,.,13067.2,1590.6
1992,7,.,13153.9,1662
1992,8,.,13097.2,1653.1
1992,9,.,12815.3,1493.4
1992,10,.,12819.5,1483
1992,11,.,12671.3,1670.8
1992,12,.,12587.8,1621.4
1993,1,85,12346.3,1693.7
1993,2,85.3,12425.7,1663.2
1993,3,85.2,12465.5,1779.1
1993,4,85.2,12496.8,1725.6
1993,5,85.4,12829.3,1692.7
1993,6,85.4,13123.5,1649.4
1993,7,85.6,13202.9,1741.4
1993,8,85.7,13177.6,1655.4
1993,9,85.7,12954.7,1491.7
1993,10,85.9,12926.8,1480.1
1993,11,86.3,12844.7,1550
1993,12,86.1,12719.2,1584.9
1994,1,86.1,12440.5,1738.2
1994,2,85.4,12555.2,1693.3
1994,3,85.4,12620.1,1674.6
1994,4,85.4,12683,1646
1994,5,85.2,13124.4,1568.5
1994,6,85.4,13378.5,1468
1994,7,85.7,13507.4,1533.9
1994,8,85.8,13494.1,1515.8
1994,9,85.9,13290.1,1333.4
1994,10,85.7,13261.5,1324.7
1994,11,86.2,13227.1,1338
1994,12,86.3,13123,1345.3
1995,1,86.6,12894.4,1509.4
1995,2,87,12925.9,1478.4
1995,3,87.2,12985.1,1545
1995,4,87.5,13005.6,1439
1995,5,87.7,13372.4,1412.1
1995,6,87.7,13605.7,1364.5
1995,7,87.9,13678.5,1499.3
1995,8,87.7,13676.7,1429.6
1995,9,87.8,13445.3,1220
1995,10,87.7,13431.3,1244.6
1995,11,88,13283.5,1274.1
1995,12,87.8,13240.2,1310.1
1996,1,88,12997.9,1498.4
1996,2,88.1,13067.6,1492.2
1996,3,88.5,13086.3,1507.8
1996,4,88.7,13179.8,1413.5
1996,5,89,13521,1390.1
1996,6,89,13717.2,1420.8
1996,7,89,13841.4,1497.6
1996,8,89,13839,1424.4
1996,9,89.1,13531.6,1344.3
1996,10,89.3,13486.8,1374.3
1996,11,89.7,13403.9,1410.2
1996,12,89.7,13369.1,1367
1997,1,89.9,13147.7,1512.2
1997,2,90.1,13215.3,1510.4
1997,3,90.2,13289.6,1473.4
1997,4,90.2,13355.9,1455.4
1997,5,90.3,13732.9,1435.3
1997,6,90.5,14040.7,1357.3
1997,7,90.5,14117.3,1407.7
1997,8,90.6,14172.5,1368.6
1997,9,90.6,13923.8,1222.1
1997,10,90.6,13901.5,1248
1997,11,90.5,13820.2,1282.6
1997,12,90.4,13780.6,1195.9
1998,1,90.9,13474.6,1420.5
1998,2,91,13597.2,1370
1998,3,91.1,13654.9,1348.5
1998,4,91,13766.5,1303.3
1998,5,91.3,14091.5,1293.5
1998,6,91.4,14341.2,1251.5
1998,7,91.4,14441,1330.4
1998,8,91.4,14468.4,1265.5
1998,9,91.2,14235.5,1151.3
1998,10,91.6,14224.5,1133.1
1998,11,91.6,14162.4,1175.8
1998,12,91.3,14106.4,1170.7
1999,1,91.5,13881.5,1301.1
1999,2,91.6,13952.6,1288.2
1999,3,92,13988.3,1285.8
1999,4,92.5,14102.3,1324
1999,5,92.7,14454.5,1270.3
1999,6,92.9,14698.7,1145.7
1999,7,93.1,14804.6,1247.9
1999,8,93.3,14776,1222.6
1999,9,93.6,14556.5,1064
1999,10,93.7,14575.2,1027
1999,11,93.6,14517.4,1021.4
1999,12,93.7,14516.2,982.7
2000,1,93.5,14257,1128.9
2000,2,94.1,14363.7,1132.7
2000,3,94.8,14418,1130.4
2000,4,94.5,14493.1,1111
2000,5,94.9,14874.9,1074.7
2000,6,95.5,15056.3,1018.9
2000,7,95.8,15112.9,1143.9
2000,8,95.7,15097,1178.5
2000,9,96.1,14883.9,1004.6
2000,10,96.3,14896.3,1014.1
2000,11,96.6,14846.2,1036.7
2000,12,96.7,14822.2,1007
2001,1,96.3,14526,1181.7
2001,2,96.8,14572.4,1175.5
2001,3,97.1,14619.1,1200.7
2001,4,97.8,14724.3,1180.7
2001,5,98.6,15080.9,1147.2
2001,6,98.7,15230.6,1101.9
2001,7,98.4,15297.8,1196.7
2001,8,98.4,15273.1,1235.8
2001,9,98.6,15029.5,1063.4
2001,10,98.1,15023,1081.9
2001,11,97.2,14951.4,1150.4
2001,12,97.4,14859.5,1225.4
2002,1,97.6,14659.9,1402.7
2002,2,98.2,14732.8,1359.9
2002,3,98.9,14846.7,1354.4
2002,4,99.5,14968.3,1305
2002,5,99.7,15352,1311.6
2002,6,99.9,15597.9,1190.8
2002,7,100.5,15688.9,1320.9
2002,8,100.9,15740.1,1312.5
2002,9,100.9,15498.9,1153.4
2002,10,101.2,15496.3,1150.2
2002,11,101.5,15464.6,1188.1
2002,12,101.1,15449.5,1182.6
2003,1,102,15179.3,1335.7
2003,2,102.8,15291.4,1316.1
2003,3,103.1,15339.6,1300.8
2003,4,102.4,15386.7,1319.3
2003,5,102.5,15700.7,1361.9
2003,6,102.5,15984.7,1225.6
2003,7,102.6,16002.9,1361
2003,8,102.9,15971.9,1408.3
2003,9,103.1,15750.1,1232.7
2003,10,102.8,15801.8,1173.3
2003,11,103.1,15772.6,1198.7
2003,12,103.2,15748.4,1166.5
2004,1,103.3,15452.4,1327.7
2004,2,103.5,15513.4,1305.6
2004,3,103.9,15538,1319.8
2004,4,104.1,15663,1268.1
2004,5,105,16016.3,1266.9
2004,6,105.1,16273.7,1172.7
2004,7,105,16287.8,1277.3
2004,8,104.8,16224.4,1310.3
2004,9,105,16023.1,1108.4
2004,10,105.2,16049.3,1110.4
2004,11,105.6,15993.7,1173.1
2004,12,105.4,15945.2,1144.5
2005,1,105.3,15658.4,1264
2005,2,105.7,15742.1,1261.5
2005,3,106.3,15754.4,1250
2005,4,106.6,15850.3,1198.7
2005,5,106.7,16242.5,1214.1
2005,6,106.9,16446.2,1108
2005,7,107.1,16482.8,1225.8
2005,8,107.5,16460.9,1267.2
2005,9,108.4,16200.5,1082
2005,10,107.9,16266.6,1060
2005,11,107.7,16222.3,1036.5
2005,12,107.6,16155.2,1055.8
2006,1,108.2,15921.3,1252.9
2006,2,108,15992.8,1193
2006,3,108.6,16056.8,1194.9
2006,4,109.2,16152.9,1166.6
2006,5,109.7,16619.2,1107.3
2006,6,109.5,16775.4,1038
2006,7,109.6,16778.5,1228
2006,8,109.8,16711,1256.4
2006,9,109.2,16482.5,1068.9
2006,10,109,16537.7,1018.2
2006,11,109.2,16469.1,1089.6
2006,12,109.4,16467.8,1041.5
2007,1,109.4,16264.2,1200.1
2007,2,110.2,16338.9,1153.5
2007,3,111.1,16379.6,1184.5
2007,4,111.6,16467.1,1141.1
2007,5,112.1,16853.9,1113.8
2007,6,111.9,17071.8,1024.2
2007,7,112,17138,1130.5
2007,8,111.7,17097.3,1174.7
2007,9,111.9,16841.4,1014.5
2007,10,111.6,16926.1,988.3
2007,11,111.9,16883,1039.1
2007,12,112,16820.6,1026.9
2008,1,111.8,16586.6,1168.6
2008,2,112.2,16678.7,1131.4
2008,3,112.6,16692.3,1183.7
2008,4,113.5,16772.3,1150.9
2008,5,114.6,17145.2,1149.8
2008,6,115.4,17371.6,1050.1
2008,7,115.8,17306.2,1176.7
2008,8,115.6,17290.6,1227.1
2008,9,115.7,17092.8,1053.8
2008,10,114.5,17151,1048.1
2008,11,114.1,16984.8,1148.4
2008,12,113.3,16889.9,1187.7
2009,1,113,16470.4,1451.1
2009,2,113.8,16489.5,1530
2009,3,114,16449.1,1630.6
2009,4,113.9,16536.4,1598.5
2009,5,114.7,16890.3,1629.4
2009,6,115.1,17078,1521.2
2009,7,114.7,16995.3,1682.4
2009,8,114.7,16974.8,1727.7
2009,9,114.7,16810.4,1430.1
2009,10,114.6,16824.7,1419.7
2009,11,115.2,16827,1488.5
2009,12,114.8,16719.4,1472.4
2010,1,115.1,16470.5,1617
2010,2,115.6,16531.3,1584.5
2010,3,115.6,16554.6,1628.8
2010,4,116,16731.9,1569.6
2010,5,116.3,17089.6,1566.8
2010,6,116.2,17386.5,1410.6
2010,7,116.8,17322.7,1597
2010,8,116.7,17297.7,1696.6
2010,9,116.9,17122.5,1399.8
2010,10,117.4,17105.7,1364.1
2010,11,117.5,17090,1362.9
2010,12,117.5,17035.3,1347.9
2011,1,117.8,16824.3,1529.4
2011,2,118.1,16885.4,1506.7
2011,3,119.4,16873,1552.5
2011,4,119.8,17028.1,1515.6
2011,5,120.6,17395.1,1454.4
2011,6,119.8,17611.8,1364.1
2011,7,120,17580.8,1472.2
2011,8,120.3,17551,1535.2
2011,9,120.6,17360.1,1278.3
2011,10,120.8,17336.2,1283.4
2011,11,120.9,17274.1,1324.2
2011,12,120.2,17211.5,1294.8
2012,1,120.7,16938.2,1504
2012,2,121.2,17000.1,1458.9
2012,3,121.7,17083.3,1453.2
2012,4,122.2,17299.8,1436.7
2012,5,122.1,17630.8,1453.9
2012,6,121.6,17791.3,1329.6
2012,7,121.5,17764.7,1434.3
2012,8,121.8,17782.4,1536.2
2012,9,122,17622.9,1286.7
2012,10,122.2,17625,1293
2012,11,121.9,17598.3,1291.9
2012,12,121.2,17571.1,1261.1
2013,1,121.3,17317.8,1415.5
2013,2,122.7,17419,1386.3
2013,3,122.9,17356.2,1459.2
2013,4,122.7,17495,1412.5
2013,5,123,17911,1376.7
2013,6,123,18053.3,1303.8
2013,7,123.1,17979.2,1453
2013,8,123.1,17984.7,1520
2013,9,123.3,17831.2,1218.9
2013,10,123,17819.3,1240.6
2013,11,123,17752.7,1253.6
2013,12,122.7,17626.7,1310.3
2014,1,123.1,17377.7,1447.4
2014,2,124.1,17427.2,1431.6
2014,3,124.8,17465.5,1433
2014,4,125.2,17538.4,1402.9
2014,5,125.8,17902.6,1431.4
2014,6,125.9,18129.9,1312.6
2014,7,125.7,18086,1420.4
2014,8,125.7,18028,1471.6
2014,9,125.8,17898.1,1218.1
2014,10,125.9,17917.8,1177.4
2014,11,125.4,17842.4,1194.1
2014,12,124.5,17784.3,1178.5
2015,1,124.3,17511.6,1358.2
2015,2,125.4,17579.1,1380.7
2015,3,126.3,17605.8,1412.2
2015,4,126.2,17676.4,1375.4
2015,5,126.9,18062.8,1363.8
2015,6,127.2,18246.6,1261.2
2015,7,127.3,18173.1,1398.6
2015,8,127.3,18183.6,1485.3
2015,9,127.1,18021.9,1238.4
2015,10,127.2,18040.9,1217.5
2015,11,127.1,17933.6,1250
2015,12,126.5,17835.8,1295.9
